Teacher: Caroline
Class:22
Room:222
Date:22/22/22
1,2,Desk,CYAN
1,3,Desk,CYAN
1,4,Desk,CYAN
1,5,Desk,CYAN
1,6,Desk,CYAN
2,2,Student1,
2,3,Student2,
2,4,Student3,
2,5,Student4,
2,6,Student5,
3,2,Desk,CYAN
3,3,Desk,CYAN
3,4,Desk,CYAN
3,5,Desk,CYAN
3,6,Desk,CYAN
4,2,Student6,
4,3,Student7,
4,4,Student8,
4,5,Student9,
4,6,Student10,
5,2,Desk,CYAN
5,3,Desk,CYAN
5,4,Desk,CYAN
5,5,Desk,CYAN
5,6,Desk,CYAN
6,2,Student11,
6,3,Student12,
6,4,Student13,
6,5,Student14,
6,6,Student15,
7,2,Desk,CYAN
7,3,Desk,CYAN
7,4,Desk,CYAN
7,5,Desk,CYAN
7,6,Desk,CYAN
10,4,Desk,CYAN
11,4,Teacher,
